Ad account name,Ad account ID,Campaign name,Campaign ID,Campaign objective,Ad group name,Ad group ID,Adname,Ad ID,Title,Description,Impressions,CPM (cost per thousand impressions),Clicks,CTR (click-through rate),CPC (cost per click),CV (conversions),CVR (conversion rate),CPA (cost per action),Cost,Currency,CV (product details viewed),CVR (product details viewed),CPA (product details viewed),CV (item added to cart),CVR (item added to cart),CPA (item added to cart),CV (checkout started),CVR (checkout started),CPA (checkout started),CV (purchased),CVR (purchased),CPA (purchased),CV (lead generated),CVR (lead generated),CPA (lead generated),CV (reservation completed),CVR (reservation completed),CPA (reservation completed),CV (signup completed),CVR (signup completed),CPA (signup completed),CV API,CV (LINE tag + CV API),CVR (LINE tag + CV API),CPA (LINE tag + CV API),Reach (estimated),Frequency,Reach start date,Reach end date,Video starts,Video (viewed for at least three seconds),Cost per 3-second playback,Video (25% watched),Video (50% watched),Video (75% watched),Video (95% watched),Video (100% watched),Cost per complete video view,Installs (clicks),Install rate (clicks),Cost per install (clicks),Installs (views),Installs (clicks and views),Cost per install (clicks and views),Open,Open rate,Cost per open,View home screen,Home screen view rate,Cost per view (home),Category view,Category view rate,Cost per view (category),View product,Product view rate,Cost per view (product),Search,Search rate,Cost per search,Add-to-cart,Add-to-cart rate,Cost per add-to-cart,Purchase,Purchase rate,Cost per purchase,Level achieved,Level achieved rate,Cost per level achieved,Tutorial complete,Tutorial percent complete,Cost per tutorial completion,MCV_202171,MCV_202171 rate,Cost per MCV_202171,サンクス,サンクス rate,Cost per サンクス,最新かんたん不動産比較CV,最新かんたん不動産比較CV rate,Cost per 最新かんたん不動産比較CV
001_まごころ合同会社_かんたん不動産比較,A56557121586,5/16_tCPA_MCV_iOS,7.15153E+11,WEBSITE_CONVERSION,a1099_長野県佐久市,2.88153E+11,LAP_a1099_A1T1,2.28815E+12,佐久市の土地相場が60秒でわかる,,5370,79,13,0.24%,32,0,0.00%,0,425,JPY,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,0.00%,0,2287,,,,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0
001_まごころ合同会社_かんたん不動産比較,A56557121586,5/16_tCPA_MCV_iOS,7.15153E+11,WEBSITE_CONVERSION,a1099_長野県佐久市,2.88153E+11,LAP_a1099_A4T1,5.06947E+12,佐久市の土地相場が60秒でわかる,,3689,102,9,0.24%,42,0,0.00%,0,378,JPY,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,0.00%,0,1878,,,,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0
001_まごころ合同会社_かんたん不動産比較,A56557121586,5/16_tCPA_MCV_iOS,7.15153E+11,WEBSITE_CONVERSION,a1099_長野県佐久市,2.88153E+11,LAP_a1099_A3T1,5.62327E+12,佐久市の土地相場が60秒でわかる,,446,125,1,0.22%,56,0,0.00%,0,56,JPY,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,0.00%,0,395,,,,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0
001_まごころ合同会社_かんたん不動産比較,A56557121586,5/16_tCPA_MCV_iOS,7.15153E+11,WEBSITE_CONVERSION,a1110_長野県須坂市,2.88153E+11,LAP_a1110_A1T1,2.28815E+12,須坂市の土地相場が60秒でわかる,,1678,81,3,0.18%,45,0,0.00%,0,137,JPY,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,0.00%,0,896,,,,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0
001_まごころ合同会社_かんたん不動産比較,A56557121586,5/16_tCPA_MCV_iOS,7.15153E+11,WEBSITE_CONVERSION,a1110_長野県須坂市,2.88153E+11,LAP_a1110_A4T1,5.06947E+12,須坂市の土地相場が60秒でわかる,,1361,105,1,0.07%,143,0,0.00%,0,143,JPY,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,0.00%,0,795,,,,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0
001_まごころ合同会社_かんたん不動産比較,A56557121586,5/16_tCPA_MCV_iOS,7.15153E+11,WEBSITE_CONVERSION,a1110_長野県須坂市,2.88153E+11,LAP_a1110_A3T1,5.62327E+12,須坂市の土地相場が60秒でわかる,,2280,95,2,0.09%,108,0,0.00%,0,217,JPY,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,0.00%,0,1062,,,,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0
001_まごころ合同会社_かんたん不動産比較,A56557121586,5/16_tCPA_MCV_iOS,7.15153E+11,WEBSITE_CONVERSION,a1115_長野県東御市,2.88153E+11,LAP_a1115_A1T1,2.28815E+12,東御市の土地相場が60秒でわかる,,908,98,2,0.22%,44,0,0.00%,0,89,JPY,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,0.00%,0,529,,,,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0
001_まごころ合同会社_かんたん不動産比較,A56557121586,5/16_tCPA_MCV_iOS,7.15153E+11,WEBSITE_CONVERSION,a1115_長野県東御市,2.88153E+11,LAP_a1115_A4T1,5.16947E+12,東御市の土地相場が60秒でわかる,,1129,117,6,0.53%,22,0,0.00%,0,133,JPY,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,0.00%,0,580,,,,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0
001_まごころ合同会社_かんたん不動産比較,A56557121586,5/16_tCPA_MCV_iOS,7.15153E+11,WEBSITE_CONVERSION,a1115_長野県東御市,2.88153E+11,LAP_a1115_A3T1,5.63327E+12,東御市の土地相場が60秒でわかる,,441,149,2,0.45%,33,0,0.00%,0,66,JPY,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,0.00%,0,336,,,,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0
001_まごころ合同会社_かんたん不動産比較,A56557121586,5/16_tCPA_MCV_iOS,7.15153E+11,WEBSITE_CONVERSION,a0485_茨城県ひたちなか市,3.87153E+11,LAP_a0485_A1T1,2.38715E+12,ひたちなか市の土地相場が60秒でわかる,,1696,70,4,0.24%,30,0,0.00%,0,120,JPY,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,0.00%,0,1184,,,,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0
